time,impact_x,impact_y,impact_z,hit
5.998183250427246,190.7949,7.897931,161.1407,terrain
12.300214767456055,190.7949,7.888551,161.1407,terrain
18.60091280937195,190.7949,7.879943,161.1407,terrain
24.92760133743286,190.7949,7.907871,161.1407,terrain
31.214450120925903,190.7949,7.885464,161.1407,terrain
37.57151746749878,190.7949,7.88458,161.1407,terrain
43.927496671676636,190.7949,7.89022,161.1407,terrain
50.335816860198975,190.7949,7.897251,161.1407,terrain
56.74028468132019,190.7949,7.904834,161.1407,terrain
63.164573669433594,190.7949,7.89528,161.1407,terrain
69.58145523071289,190.7949,7.901993,161.1407,terrain
76.0285701751709,190.7949,7.884391,161.1407,terrain
82.45671343803406,190.7949,7.889217,161.1407,terrain
88.89038753509521,190.7949,7.897478,161.1407,terrain
95.3012228012085,190.7949,7.902793,161.1407,terrain
101.71721506118774,190.7949,7.906709,161.1407,terrain
108.13936638832092,190.7949,7.906921,161.1407,terrain
114.55957698822021,190.7949,7.905248,161.1407,terrain
121.00897431373596,190.7949,7.901819,161.1407,terrain
127.42903327941895,190.7949,7.904993,161.1407,terrain
133.8448040485382,190.7949,7.899202,161.1407,terrain
140.2604923248291,190.7949,7.904672,161.1407,terrain
146.670996427536,190.7949,7.883068,161.1407,terrain
153.09770107269287,190.7949,7.894947,161.1407,terrain
159.4941520690918,190.7949,7.894603,161.1407,terrain
165.91713762283325,190.7949,7.905721,161.1407,terrain
172.29382157325745,190.7949,7.875037,161.1407,terrain
178.79240131378174,190.7949,7.902874,161.1407,terrain
185.2016294002533,190.7949,7.89801,161.1407,terrain
191.6285276412964,190.7949,7.904607,161.1407,terrain
198.02022004127502,190.7949,7.875219,161.1407,terrain
204.4393002986908,190.7949,7.880094,161.1407,terrain
210.92321729660034,190.7949,7.898553,161.1407,terrain
217.35697722434998,190.7949,7.90438,161.1407,terrain
223.76938486099243,190.7949,7.895786,161.1407,terrain
230.19513773918152,190.7949,7.892743,161.1407,terrain
236.59977340698242,190.7949,7.898206,161.1407,terrain
242.970787525177,190.7949,7.879716,161.1407,terrain
249.34557604789734,190.7949,7.880548,161.1407,terrain
255.74750685691833,190.7949,7.885971,161.1407,terrain
262.0993571281433,190.7949,7.886373,161.1407,terrain
268.5466470718384,190.7949,7.89829,161.1407,terrain
274.97276878356934,190.7949,7.89641,161.1407,terrain
281.4592823982239,190.7949,7.903495,161.1407,terrain
287.8892276287079,190.7949,7.892112,161.1407,terrain
294.31964802742004,190.7949,7.90628,161.1407,terrain
300.76032972335815,190.7949,7.902336,161.1407,terrain
307.14241552352905,190.7949,7.876131,161.1407,terrain
313.55528378486633,190.7949,7.873165,161.1407,terrain
319.96556282043457,190.7949,7.89536,161.1407,terrain
326.4348201751709,190.7949,7.903558,161.1407,terrain
332.9528353214264,190.7949,7.892462,161.1407,terrain
339.3576674461365,190.7949,7.907869,161.1407,terrain
345.75979351997375,190.7949,7.905281,161.1407,terrain
352.1698577404022,190.7949,7.906818,161.1407,terrain
358.4928569793701,190.7949,7.876526,161.1407,terrain
364.91698956489563,190.7949,7.879003,161.1407,terrain
371.45971846580505,190.7949,7.907625,161.1407,terrain
377.89041352272034,190.7949,7.893116,161.1407,terrain
384.30610966682434,190.7949,7.905958,161.1407,terrain
390.72804021835327,190.7949,7.876118,161.1407,terrain
397.1901354789734,190.7949,7.876171,161.1407,terrain
403.6151466369629,190.7949,7.883337,161.1407,terrain
410.05663895606995,190.7949,7.897558,161.1407,terrain
416.3932673931122,190.7949,7.882467,161.1407,terrain
422.7933645248413,190.7949,7.889917,161.1407,terrain
429.2263696193695,190.7949,7.881863,161.1407,terrain
435.6540834903717,190.7949,7.877788,161.1407,terrain
442.1209831237793,190.7949,7.90376,161.1407,terrain
448.524959564209,190.7949,7.874073,161.1407,terrain
454.9812078475952,190.7949,7.903742,161.1407,terrain
461.3891122341156,190.7949,7.885862,161.1407,terrain
467.8107249736786,190.7949,7.87642,161.1407,terrain
474.31297183036804,190.7949,7.897714,161.1407,terrain
480.7517330646515,190.7949,7.90356,161.1407,terrain
487.1586318016052,190.7949,7.906948,161.1407,terrain
493.64119386672974,190.7949,7.889087,161.1407,terrain
500.993510723114,190.7949,7.881214,161.1407,terrain
507.39452385902405,190.7949,7.878558,161.1407,terrain
513.8463065624237,190.7949,7.873444,161.1407,terrain
520.3445734977722,190.7949,7.901939,161.1407,terrain
526.7011289596558,190.7949,7.899438,161.1407,terrain
533.163453578949,190.7949,7.875835,161.1407,terrain
539.5471050739288,190.7949,7.876123,161.1407,terrain
545.9151754379272,190.7949,7.88132,161.1407,terrain
552.787116765976,190.7949,7.907707,161.1407,terrain
559.2113633155823,190.7949,7.897981,161.1407,terrain
565.6522092819214,190.7949,7.902536,161.1407,terrain
572.0919487476349,190.7949,7.907531,161.1407,terrain
578.7587547302246,190.7949,7.876971,161.1407,terrain
584.9096796512604,190.7949,7.880893,161.1407,terrain
591.4198558330536,190.7949,7.883794,161.1407,terrain
597.7957103252411,190.7949,7.890411,161.1407,terrain
604.2635316848755,190.7949,7.888742,161.1407,terrain
610.7535719871521,190.7949,7.874959,161.1407,terrain
617.2047870159149,190.7949,7.904884,161.1407,terrain
623.5922541618347,190.7949,7.896688,161.1407,terrain
630.0349740982056,190.7949,7.903108,161.1407,terrain
636.3915476799011,190.7949,7.880562,161.1407,terrain
642.9609117507935,190.7949,7.897171,161.1407,terrain
649.4502265453339,190.7949,7.897003,161.1407,terrain
